year;area km²;consunit
2021;531,74;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2020;436,31;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2019;436,10;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2008;254,40;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2016;422,11;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2018;332,09;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2017;209,85;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2015;176,75;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2009;197,49;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2010;159,44;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2014;120,84;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2013;84,18;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2011;81,74;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2012;70,91;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2021;190,02;FLORESTA NACIONAL DO JAMANXIM
2020;122,33;FLORESTA NACIONAL DO JAMANXIM
2019;100,81;FLORESTA NACIONAL DO JAMANXIM
2008;74,39;FLORESTA NACIONAL DO JAMANXIM
2016;73,06;FLORESTA NACIONAL DO JAMANXIM
2018;72,85;FLORESTA NACIONAL DO JAMANXIM
2017;25,09;FLORESTA NACIONAL DO JAMANXIM
2015;92,52;FLORESTA NACIONAL DO JAMANXIM
2009;103,36;FLORESTA NACIONAL DO JAMANXIM
2010;11,83;FLORESTA NACIONAL DO JAMANXIM
2014;49,45;FLORESTA NACIONAL DO JAMANXIM
2013;65,06;FLORESTA NACIONAL DO JAMANXIM
2011;13,04;FLORESTA NACIONAL DO JAMANXIM
2012;30,80;FLORESTA NACIONAL DO JAMANXIM
2021;107,09;RESERVA EXTRATIVISTA JACI-PARANÁ
2020;103,62;RESERVA EXTRATIVISTA JACI-PARANÁ
2019;94,15;RESERVA EXTRATIVISTA JACI-PARANÁ
2008;13,73;RESERVA EXTRATIVISTA JACI-PARANÁ
2016;114,64;RESERVA EXTRATIVISTA JACI-PARANÁ
2018;90,78;RESERVA EXTRATIVISTA JACI-PARANÁ
2017;144,66;RESERVA EXTRATIVISTA JACI-PARANÁ
2015;92,47;RESERVA EXTRATIVISTA JACI-PARANÁ
2009;6,21;RESERVA EXTRATIVISTA JACI-PARANÁ
2010;38,91;RESERVA EXTRATIVISTA JACI-PARANÁ
2014;66,66;RESERVA EXTRATIVISTA JACI-PARANÁ
2013;53,72;RESERVA EXTRATIVISTA JACI-PARANÁ
2011;54,25;RESERVA EXTRATIVISTA JACI-PARANÁ
2012;19,40;RESERVA EXTRATIVISTA JACI-PARANÁ
